circuit,2qg_in,depth_in,sabre0394-la_min_2qg_out,sabre0394-la_min_depth_out,sabre0394-la_min_2qg_ratio,sabre0394-la_min_depth_ratio,sabre0394-la_avg_time,sabre0394-dc_min_2qg_out,sabre0394-dc_min_depth_out,sabre0394-dc_min_2qg_ratio,sabre0394-dc_min_depth_ratio,sabre0394-dc_avg_time
54QBT_25CYC_QSE_0.qasm,270,25,729,143,2.7,5.72,0.28,675,147,2.5,5.88,0.25
54QBT_25CYC_QSE_1.qasm,270,25,627,136,2.322,5.44,0.23,693,156,2.567,6.24,0.24
54QBT_25CYC_QSE_2.qasm,270,25,672,171,2.489,6.84,0.25,681,134,2.522,5.36,0.25
54QBT_25CYC_QSE_3.qasm,270,25,564,120,2.089,4.8,0.25,603,133,2.233,5.32,0.25
54QBT_25CYC_QSE_4.qasm,270,25,624,143,2.311,5.72,0.26,675,137,2.5,5.48,0.26
54QBT_25CYC_QSE_5.qasm,270,25,708,125,2.622,5.0,0.34,672,125,2.489,5.0,0.27
54QBT_25CYC_QSE_6.qasm,270,25,651,120,2.411,4.8,0.27,606,124,2.244,4.96,0.27
54QBT_25CYC_QSE_7.qasm,270,25,723,154,2.678,6.16,0.36,723,167,2.678,6.68,0.29
54QBT_25CYC_QSE_8.qasm,270,25,474,119,1.756,4.76,0.29,465,94,1.722,3.76,0.28
54QBT_25CYC_QSE_9.qasm,270,25,669,139,2.478,5.56,0.3,681,134,2.522,5.36,0.3
