circuit,2qg_in,depth_in,sabre0330_min_2qg_out,sabre0330_min_depth_out,sabre0330_min_2qg_ratio,sabre0330_min_depth_ratio,sabre0330_avg_time,sabre0394_min_2qg_out,sabre0394_min_depth_out,sabre0394_min_2qg_ratio,sabre0394_min_depth_ratio,sabre0394_avg_time,sqgm_min_2qg_out,sqgm_min_depth_out,sqgm_min_2qg_ratio,sqgm_min_depth_ratio,sqgm_avg_time
20QBT_depth_Tokyo_large_opt_10_2.55_no.0.qasm,229,93,457,252,1.996,2.71,0.23,421,232,1.838,2.495,0.25,604,180,2.638,1.935,0.23
20QBT_depth_Tokyo_large_opt_10_2.55_no.1.qasm,229,97,406,195,1.773,2.01,0.27,400,193,1.747,1.99,0.21,520,157,2.271,1.619,0.31
20QBT_depth_Tokyo_large_opt_10_2.55_no.2.qasm,236,93,443,223,1.877,2.398,0.25,410,209,1.737,2.247,0.19,551,173,2.335,1.86,0.27
20QBT_depth_Tokyo_large_opt_10_2.55_no.3.qasm,227,90,464,236,2.044,2.622,0.25,434,222,1.912,2.467,0.28,551,171,2.427,1.9,0.21
20QBT_depth_Tokyo_large_opt_10_2.55_no.4.qasm,254,99,455,246,1.791,2.485,0.3,431,248,1.697,2.505,0.26,620,200,2.441,2.02,0.33
20QBT_depth_Tokyo_large_opt_10_2.55_no.5.qasm,258,95,486,252,1.884,2.653,0.28,459,244,1.779,2.568,0.23,564,187,2.186,1.968,0.21
20QBT_depth_Tokyo_large_opt_10_2.55_no.6.qasm,274,110,538,279,1.964,2.536,0.32,535,256,1.953,2.327,0.16,679,215,2.478,1.955,0.36
20QBT_depth_Tokyo_large_opt_10_2.55_no.7.qasm,245,95,476,266,1.943,2.8,0.2,476,250,1.943,2.632,0.25,629,204,2.567,2.147,0.24
20QBT_depth_Tokyo_large_opt_10_2.55_no.8.qasm,280,109,457,248,1.632,2.275,0.2,514,235,1.836,2.156,0.28,580,191,2.071,1.752,0.39
20QBT_depth_Tokyo_large_opt_10_2.55_no.9.qasm,238,101,430,252,1.807,2.495,0.19,448,259,1.882,2.564,0.15,562,201,2.361,1.99,0.23
